Name: “Table 1 of 1 on page 1 of 6”,Name: “Table 1 of 1 on page 1 of 6”,Name: “Table 1 of 1 on page 1 of 6”,Name: “Table 1 of 1 on page 1 of 6”,Name: “Table 1 of 1 on page 1 of 6”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,
,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,
COUNTY,CITY,ADDRESS,ADDRESS,DATE
ACCOMACK,PARKSLEY,17349,MUSIC CIR CIRCLE,2/14/2014
APPOMATTOX,APPOMATTOX,2166 HOLLYWOOD ROAD,2166 HOLLYWOOD ROAD,3/5/2007
AUGUSTA,CRIMORA,1148 ROUND HILL SCHOOL RD,1148 ROUND HILL SCHOOL RD,3/21/2006
AUGUSTA,GROTTOES,31 SOUTH JOLLETT LANE,31 SOUTH JOLLETT LANE,5/29/2007
AUGUSTA,STAUNTON,21,KITTERY PT,2/12/2014
AUGUSTA,STUARTS DRAFT,1204 WHITE HILL RD,1204 WHITE HILL RD,11/11/2004
AUGUSTA,STUARTS DRAFT,966 OLD WHITE HILL ROAD,966 OLD WHITE HILL ROAD,5/12/2007
BATH,MILLBORO,1682,CROOKED SPUR ROAD,5/13/2010
BEDFORD,BEDFORD,1016 BLUE MOON,1016 BLUE MOON,5/19/2004
BEDFORD,MONTVALE,1211,EDGEHILL ROAD,1/7/2011
BEDFORD,VINTON,1941,SHADY ROAD,5/26/2013
BOTETOURT,BLUE RIDGE,155 WEBSTER HEIGHTS ROAD,155 WEBSTER HEIGHTS ROAD,9/12/2008
BOTETOURT,BLUE RIDGE,3254 BLUE RIDGE BOULEVARD,3254 BLUE RIDGE BOULEVARD,9/12/2008
BOTETOURT,BUCHANAN,1811,TIMBER RIDGE ROAD,11/22/2013
BOTETOURT,ROANOKE,7444,TINKERVIEW ROAD,10/12/2013
Bristol (city),BRISTOL,1103 LAWRENCE AVE,1103 LAWRENCE AVE,4/5/2004
Bristol (city),BRISTOL,15589 LEE HWY 221,15589 LEE HWY 221,10/19/2004
Bristol (city),BRISTOL,9108 TIMBERBEND LN,9108 TIMBERBEND LN,11/12/2004
Bristol (city),BRISTOL,626 15301 LARGE HOLLOW RD,626 15301 LARGE HOLLOW RD,3/9/2005
BRISTOL (CITY),BRISTOL,321,PARD STREET,6/14/2010
BRISTOL (CITY),BRISTOL,763,ISLAND ROAD,7/14/2010
BRISTOL (CITY),BRISTOL,1,EUCLID AVENUE,7/31/2010
BRISTOL (CITY),BRISTOL,183,2ND STREET G,8/19/2010
BRISTOL (CITY),BRISTOL,1010,NEWTON STREET 302,8/26/2010
BRISTOL (CITY),BRISTOL,651,QUARRY STREET L-2,8/26/2010
BRISTOL (CITY),BRISTOL,15,DUKE STREET,11/16/2010
BRISTOL (CITY),BRISTOL,700,CLINTON AVENUE T1,12/4/2012
BRISTOL (CITY),BRISTOL,225,RESERVOIR STREET,5/8/2013
BRISTOL (CITY),BRISTOL,170,2ND STREET E,6/13/2013
BUCHANAN,MAVISDALE,1045,OLD BRIDGE ROAD,3/24/2010
BUCHANAN,SHORTT GAP,1334,BETSY BRANCH ROAD,6/12/2010
CAMPBELL,GLADYS,4478 THREE CREEKS ROAD,4478 THREE CREEKS ROAD,5/31/2007
CAMPBELL,LYNCHBURG,1301,HARDING STREET,1/28/2013
CARROLL,FANCY GAP,1232 CARROLL VIEW RD,1232 CARROLL VIEW RD,4/21/2004
CARROLL,FANCY GAP,800 APACHE TRAIL,800 APACHE TRAIL,6/1/2006
CARROLL,IVANHOE,101,STRUPE HOLLOW ROAD,4/7/2009
CARROLL,LAMBSBURG,3491 (B) LAMBSBURG RD,3491 (B) LAMBSBURG RD,2/16/2005
CHARLOTTESVILLE (CITY),CHARLOTTESVILLE,706,FRANKLIN STREET 4,10/8/2013
CHESAPEAKE (CITY),CHESAPEAKE,1220 IVY STONE WAY,1220 IVY STONE WAY,5/3/2005
CHESTERFIELD,MATOACA,21619,STUART AVENUE,9/21/2010
COVINGTON (CITY),COVINGTON,305,EAST LOCUST STREET,1/19/2011
CRAIG,NEW CASTLE,101 PRICES CABIN ROAD,101 PRICES CABIN ROAD,5/3/2008
CRAIG,NEW CASTLE,229,WALNUT STREET,12/8/2010
DICKENSON,CLINTWOOD,2094 ROCKHOUSE ROAD,2094 ROCKHOUSE ROAD,12/12/2006
DICKENSON,CLINTWOOD,258,OMAHA SUNSET DRIVE,6/17/2010
DICKENSON,CLINTWOOD,1795,NEWBERRY ROAD,5/8/2013
DICKENSON,NORA,5746,DANTE MOUNTAIN ROAD 100,6/17/2010
DICKENSON,SAINT PAUL,14535,SANDY RIDGE ROAD,2/17/2011
DICKENSON,SAINT PAUL,14535,SANDY RIDGE ROAD,2/17/2011
FAUQUIER,WARRENTON,355 WATERLOO ST,355 WATERLOO ST,3/11/2004
FLOYD,FLOYD,2201 SOUTH FLOYD HIGHWAY,2201 SOUTH FLOYD HIGHWAY,6/14/2010
FLOYD,FLOYD,8701,RAMSEY BOULEVARD,1/16/2013
FLOYD,FLOYD,213 PINE CREEK WAY,213 PINE CREEK WAY,2/5/2013
FLOYD,FLOYD,300,172 SUNNY RIDGE ROAD,4/16/2013
,,1 of 6,,3/4/2014
